ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
Michigan,CY 2016,"5,039",Iraq,"1,300",Wixom,11,"96,874"
Michigan,CY 2013,"4,125",Somalia,206,Ann Arbor,11,"66,066"
Michigan,CY 2015,"2,714",Somalia,260,Troy,11,"66,517"
Michigan,CY 2016,"5,039",Sudan,82,Clinton Township,11,"96,874"
Minnesota,CY 2012,"2,115",Bhutan,200,Rochester,11,"66,292"
Minnesota,CY 2014,"2,390",Bhutan,77,Roseville,11,"72,820"
Minnesota,CY 2014,"2,390",Burma,838,Maplewood,11,"72,820"
Minnesota,CY 2014,"2,390",Burma,838,Richfield,11,"72,820"
Minnesota,CY 2012,"2,115",Burma,776,Rochester,11,"66,292"
Minnesota,CY 2016,"3,009",Dem. Rep. Congo,98,Richfield,11,"96,874"
Minnesota,CY 2016,"3,009",Ethiopia,277,Coon Rapids,11,"96,874"
Minnesota,CY 2015,"2,119",Ethiopia,63,Faribault,11,"66,517"
Minnesota,CY 2010,"2,182",Iraq,211,Coon Rapids,11,"71,362"
Minnesota,CY 2012,"2,115",Iraq,114,Saint Paul,11,"66,292"
Minnesota,CY 2016,"3,009",Somalia,"1,405",Brooklyn Park,11,"96,874"
Minnesota,CY 2013,"2,067",Somalia,821,Burnsville,11,"66,066"
Minnesota,CY 2016,"3,009",Somalia,"1,405",Waite Park,11,"96,874"
Minnesota,CY 2016,"3,009",Ukraine,80,Cambridge,11,"96,874"
Minnesota,CY 2016,"3,009",Ukraine,80,Minneapolis,11,"96,874"
Minnesota,CY 2015,"2,119",Ukraine,35,Shakopee,11,"66,517"
Missouri,CY 2016,"2,337",Colombia,11,Saint Louis,11,"96,874"
Missouri,CY 2012,"1,224",Cuba,46,Saint Louis,11,"66,292"
Missouri,CY 2010,"1,083",Dem. Rep. Congo,21,Saint Louis,11,"71,362"
Missouri,CY 2014,"1,469",Eritrea,39,Saint Joseph,11,"72,820"
Missouri,CY 2011,901,Ethiopia,18,Saint Louis,11,"51,458"
Missouri,CY 2015,"1,352",Ethiopia,25,Saint Louis,11,"66,517"
Nebraska,CY 2010,780,Iran,11,Lincoln,11,"71,362"
Nebraska,CY 2016,"1,782",Iraq,451,Omaha,11,"96,874"
Nebraska,CY 2010,780,Somalia,13,Omaha,11,"71,362"
Nebraska,CY 2014,"1,128",Sudan,19,Omaha,11,"72,820"
Nevada,CY 2016,899,Cuba,11,Las Vegas,11,"96,874"
New Hampshire,CY 2010,434,Burma,11,Concord,11,"71,362"
New Hampshire,CY 2015,428,Rwanda,11,Concord,11,"66,517"
New Hampshire,CY 2015,428,Sudan,17,Manchester,11,"66,517"
New Jersey,CY 2014,347,Burma,34,Somerdale,11,"72,820"
New Jersey,CY 2016,601,Cuba,12,Elizabeth,11,"96,874"
New Jersey,CY 2010,752,Dem. Rep. Congo,12,Atlantic City,11,"71,362"
New Jersey,CY 2012,337,Iraq,86,Camden,11,"66,292"
New Jersey,CY 2015,328,Syria,86,Bellmawr,11,"66,517"
New Mexico,CY 2012,248,Burma,71,Rio Rancho,11,"66,292"
New Mexico,CY 2014,180,Iran,11,Albuquerque,11,"72,820"
New York,CY 2012,"3,754",Afghanistan,46,Syracuse,11,"66,292"
New York,CY 2011,"3,421",Bhutan,"1,226",Bronx,11,"51,458"
New York,CY 2011,"3,421",Burma,"1,274",Rensselaer,11,"51,458"
New York,CY 2013,"4,007",Central African Republic,27,Rochester,11,"66,066"
New York,CY 2010,"4,168",Dem. Rep. Congo,262,Penfield,11,"71,362"
New York,CY 2010,"4,168",Eritrea,160,New York,11,"71,362"
New York,CY 2011,"3,421",Iran,38,Buffalo,11,"51,458"
New York,CY 2015,"3,904",Iraq,338,New Paltz,11,"66,517"
New York,CY 2016,"5,830",Iraq,457,New York,11,"96,874"
New York,CY 2010,"4,168",Iraq,562,Troy,11,"71,362"
New York,CY 2015,"3,904",Pakistan,22,Albany,11,"66,517"
New York,CY 2016,"5,830",Republic of South Sudan,16,Syracuse,11,"96,874"
New York,CY 2013,"4,007",Russia,23,Utica,11,"66,066"
New York,CY 2015,"3,904",Ukraine,111,Syracuse,11,"66,517"
